StartTime: 2020-03-20 16:20:22.093
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz 
224.152	-1.3198	1.2969	0.4658	-22.6440	-3.1128	2.5024	69.0985	41.6052	-107.1112	39.0900	-28	-286	111 
224.152	-1.3198	1.2969	0.4658	-22.6440	-3.1128	2.5024	68.9832	41.5887	-107.2101	39.0900	-29	-287	111 
224.162	-1.3198	1.2969	0.4658	-22.6440	-3.1128	2.5024	68.8678	41.5778	-107.3145	39.1800	-29	-287	110 
224.162	-1.3198	1.2969	0.4658	-22.6440	-3.1128	2.5024	68.7524	41.5668	-107.4188	39.1800	-29	-287	109 
224.172	-1.3198	1.2969	0.4658	-22.6440	-3.1128	2.5024	68.6371	41.5558	-107.5177	39.1900	-29	-286	108 
224.172	-1.3003	1.3047	0.4780	-20.7520	5.9204	6.2256	68.5712	41.5393	-107.5562	39.1900	-29	-285	107 
224.182	-1.3003	1.3047	0.4780	-20.7520	5.9204	6.2256	68.5107	41.5283	-107.5946	39.1500	-30	-285	108 
224.182	-1.3003	1.3047	0.4780	-20.7520	5.9204	6.2256	68.4448	41.5118	-107.6276	39.1500	-30	-286	108 
224.182	-1.3003	1.3047	0.4780	-20.7520	5.9204	6.2256	68.3844	41.5009	-107.6660	39.1500	-30	-285	108 
224.192	-1.3003	1.3047	0.4780	-20.7520	5.9204	6.2256	68.3185	41.4844	-107.7045	39.1500	-30	-284	108 
224.192	-1.3003	1.3047	0.4780	-20.7520	5.9204	6.2256	68.2581	41.4679	-107.7429	39.1500	-30	-285	107 
224.202	-1.3003	1.3047	0.4780	-20.7520	5.9204	6.2256	68.1921	41.4569	-107.7759	39.0700	-30	-285	106 
224.202	-1.3003	1.3047	0.4780	-20.7520	5.9204	6.2256	68.1317	41.4404	-107.8088	39.0700	-30	-285	104 
224.212	-1.2793	1.3169	0.4966	-20.0806	13.4888	9.4604	68.1042	41.4240	-107.7924	39.2100	-30	-284	103 
224.212	-1.2793	1.3169	0.4966	-20.0806	13.4888	9.4604	68.0823	41.4075	-107.7759	39.2100	-29	-284	103 
224.222	-1.2793	1.3169	0.4966	-20.0806	13.4888	9.4604	68.0548	41.3910	-107.7594	39.1500	-29	-284	103 
224.222	-1.2793	1.3169	0.4966	-20.0806	13.4888	9.4604	68.0328	41.3745	-107.7429	39.1500	-30	-282	101 
224.222	-1.2793	1.3169	0.4966	-20.0806	13.4888	9.4604	68.0054	41.3580	-107.7209	39.1300	-31	-281	100 
224.232	-1.2793	1.3169	0.4966	-20.0806	13.4888	9.4604	67.9834	41.3416	-107.7045	39.1300	-31	-281	99 
224.232	-1.2793	1.3169	0.4966	-20.0806	13.4888	9.4604	67.9559	41.3251	-107.6825	39.1400	-31	-282	98 
224.242	-1.2793	1.3169	0.4966	-20.0806	13.4888	9.4604	67.9340	41.3086	-107.6660	39.1400	-31	-282	97 
224.242	-1.2354	1.3247	0.5195	-20.8130	18.7378	12.0239	67.9230	41.2866	-107.6111	39.1400	-31	-282	96 
224.253	-1.2354	1.3247	0.5195	-20.8130	18.7378	12.0239	67.9175	41.2646	-107.5562	39.1400	-31	-282	95 
224.253	-1.2354	1.3247	0.5195	-20.8130	18.7378	12.0239	67.9120	41.2427	-107.5012	39.1400	-31	-281	94 
224.263	-1.2354	1.3247	0.5195	-20.8130	18.7378	12.0239	67.9065	41.2207	-107.4463	39.1900	-31	-281	94 
224.263	-1.2354	1.3247	0.5195	-20.8130	18.7378	12.0239	67.9010	41.1987	-107.3914	39.1900	-31	-280	94 
224.263	-1.2354	1.3247	0.5195	-20.8130	18.7378	12.0239	67.8955	41.1768	-107.3364	39.0800	-30	-279	94 
224.273	-1.2354	1.3247	0.5195	-20.8130	18.7378	12.0239	67.8845	41.1548	-107.2815	39.0800	-31	-279	93 
224.273	-1.2354	1.3247	0.5195	-20.8130	18.7378	12.0239	67.8790	41.1328	-107.2266	39.1300	-31	-279	93 
224.283	-1.1870	1.3311	0.5444	-22.2168	22.8882	13.4888	67.8790	41.1108	-107.1497	39.1300	-31	-278	92 
224.283	-1.1870	1.3311	0.5444	-22.2168	22.8882	13.4888	67.8845	41.0889	-107.0673	39.1800	-31	-277	91 
224.294	-1.1870	1.3311	0.5444	-22.2168	22.8882	13.4888	67.8845	41.0614	-106.9904	39.1800	-30	-278	90 
224.294	-1.1870	1.3311	0.5444	-22.2168	22.8882	13.4888	67.8845	41.0394	-106.9135	39.1800	-29	-278	90 
224.294	-1.1870	1.3311	0.5444	-22.2168	22.8882	13.4888	67.8845	41.0175	-106.8311	39.1700	-29	-279	90 
224.304	-1.1870	1.3311	0.5444	-22.2168	22.8882	13.4888	67.8900	40.9900	-106.7542	39.1700	-28	-279	89 
224.304	-1.1870	1.3311	0.5444	-22.2168	22.8882	13.4888	67.8900	40.9680	-106.6772	39.1400	-28	-279	89 
224.314	-1.1870	1.3311	0.5444	-22.2168	22.8882	13.4888	67.8900	40.9460	-106.6003	39.1400	-27	-279	89 
224.314	-1.1675	1.3374	0.5518	-22.6440	28.6865	13.4888	67.9120	40.9296	-106.4905	39.1300	-27	-278	88 
224.324	-1.1675	1.3374	0.5518	-22.6440	28.6865	13.4888	67.9340	40.9186	-106.3806	39.1300	-28	-278	88 
224.324	-1.1675	1.3374	0.5518	-22.6440	28.6865	13.4888	67.9504	40.9021	-106.2708	39.1900	-28	-278	88 
224.334	-1.1675	1.3374	0.5518	-22.6440	28.6865	13.4888	67.9724	40.8911	-106.1609	39.1900	-28	-278	87 
224.334	-1.1675	1.3374	0.5518	-22.6440	28.6865	13.4888	67.9944	40.8746	-106.0455	39.1400	-28	-277	87 
224.334	-1.1675	1.3374	0.5518	-22.6440	28.6865	13.4888	68.0109	40.8582	-105.9357	39.1400	-28	-277	86 
224.344	-1.1675	1.3374	0.5518	-22.6440	28.6865	13.4888	68.0328	40.8472	-105.8258	39.2400	-27	-276	86 
224.344	-1.1675	1.3374	0.5518	-22.6440	28.6865	13.4888	68.0548	40.8307	-105.7214	39.2400	-26	-275	86 
224.354	-1.1567	1.3384	0.5601	-20.8740	36.8652	11.4746	68.1097	40.8417	-105.5676	39.2400	-25	-275	86 
224.354	-1.1567	1.3384	0.5601	-20.8740	36.8652	11.4746	68.1647	40.8527	-105.4193	39.1500	-24	-275	85 
224.366	-1.1567	1.3384	0.5601	-20.8740	36.8652	11.4746	68.2251	40.8582	-105.2655	39.1500	-25	-276	85 
224.366	-1.1567	1.3384	0.5601	-20.8740	36.8652	11.4746	68.2800	40.8691	-105.1172	39.1800	-25	-276	85 
224.376	-1.1567	1.3384	0.5601	-20.8740	36.8652	11.4746	68.3350	40.8801	-104.9634	39.1800	-24	-277	85 
224.376	-1.1567	1.3384	0.5601	-20.8740	36.8652	11.4746	68.3954	40.8856	-104.8151	39.0900	-24	-277	86 
224.376	-1.1567	1.3384	0.5601	-20.8740	36.8652	11.4746	68.4503	40.8966	-104.6667	39.0900	-24	-278	85 
224.386	-1.1567	1.3384	0.5601	-20.8740	36.8652	11.4746	68.5052	40.9021	-104.5184	39.1500	-23	-279	85 
224.386	-1.1792	1.3354	0.5225	-16.1743	45.3491	7.3242	68.6151	40.9460	-104.3207	39.1500	-22	-278	85 
224.396	-1.1792	1.3354	0.5225	-16.1743	45.3491	7.3242	68.7305	40.9900	-104.1284	39.1400	-21	-277	85 
224.396	-1.1792	1.3354	0.5225	-16.1743	45.3491	7.3242	68.8403	41.0339	-103.9362	39.1400	-20	-278	85 
224.406	-1.1792	1.3354	0.5225	-16.1743	45.3491	7.3242	68.9557	41.0779	-103.7384	39.1400	-19	-278	85 
224.406	-1.1792	1.3354	0.5225	-16.1743	45.3491	7.3242	69.0656	41.1218	-103.5461	39.1700	-17	-279	85 
224.406	-1.1792	1.3354	0.5225	-16.1743	45.3491	7.3242	69.1754	41.1603	-103.3539	39.1700	-16	-279	85 
224.416	-1.1792	1.3354	0.5225	-16.1743	45.3491	7.3242	69.2908	41.2042	-103.1616	39.1800	-16	-278	85 
224.416	-1.1792	1.3354	0.5225	-16.1743	45.3491	7.3242	69.4006	41.2427	-102.9749	39.1800	-16	-278	85 
224.426	-1.2310	1.3291	0.4546	-7.9956	52.5513	1.3428	69.5819	41.3306	-102.7386	39.0800	-15	-278	85 
224.426	-1.2310	1.3291	0.4546	-7.9956	52.5513	1.3428	69.7687	41.4130	-102.5079	39.0800	-15	-278	85 
224.436	-1.2310	1.3291	0.4546	-7.9956	52.5513	1.3428	69.9500	41.4954	-102.2772	39.1500	-14	-279	86 
224.436	-1.2310	1.3291	0.4546	-7.9956	52.5513	1.3428	70.1312	41.5778	-102.0410	39.1500	-13	-280	87 
224.446	-1.2310	1.3291	0.4546	-7.9956	52.5513	1.3428	70.3180	41.6602	-101.8103	39.1800	-13	-280	88 
224.446	-1.2310	1.3291	0.4546	-7.9956	52.5513	1.3428	70.4993	41.7371	-101.5796	39.1800	-13	-279	89 
224.446	-1.2310	1.3291	0.4546	-7.9956	52.5513	1.3428	70.6860	41.8195	-101.3489	39.1800	-13	-280	89 
224.456	-1.2310	1.3291	0.4546	-7.9956	52.5513	1.3428	70.8673	41.8964	-101.1182	39.1800	-12	-280	88 
224.456	-1.2788	1.3154	0.3652	1.5869	54.6265	-5.0659	71.1145	42.0117	-100.8765	39.1800	-12	-281	88 
224.466	-1.2788	1.3154	0.3652	1.5869	54.6265	-5.0659	71.3562	42.1216	-100.6293	39.0900	-11	-281	87 
224.466	-1.2788	1.3154	0.3652	1.5869	54.6265	-5.0659	71.5979	42.2314	-100.3876	39.0900	-11	-281	88 
224.476	-1.2788	1.3154	0.3652	1.5869	54.6265	-5.0659	71.8451	42.3468	-100.1404	39.1600	-11	-281	88 
224.476	-1.2788	1.3154	0.3652	1.5869	54.6265	-5.0659	72.0923	42.4512	-99.8932	39.1600	-11	-281	88 
224.486	-1.2788	1.3154	0.3652	1.5869	54.6265	-5.0659	72.3395	42.5610	-99.6460	39.1700	-11	-280	88 
224.486	-1.2788	1.3154	0.3652	1.5869	54.6265	-5.0659	72.5812	42.6654	-99.4043	39.1700	-10	-281	88 
224.486	-1.2788	1.3154	0.3652	1.5869	54.6265	-5.0659	72.8284	42.7753	-99.1571	39.1300	-10	-281	88 
224.496	-1.3125	1.2988	0.2881	9.5825	49.2554	-10.3760	73.0975	42.8961	-98.9429	39.1300	-9	-282	87 
224.496	-1.3125	1.2988	0.2881	9.5825	49.2554	-10.3760	73.3667	43.0225	-98.7231	39.2100	-9	-284	87 
224.506	-1.3125	1.2988	0.2881	9.5825	49.2554	-10.3760	73.6304	43.1433	-98.5089	39.2100	-9	-284	87 
224.506	-1.3125	1.2988	0.2881	9.5825	49.2554	-10.3760	73.8995	43.2642	-98.2892	39.2100	-10	-284	88 
224.516	-1.3125	1.2988	0.2881	9.5825	49.2554	-10.3760	74.1687	43.3850	-98.0750	39.1500	-9	-283	88 
224.516	-1.3125	1.2988	0.2881	9.5825	49.2554	-10.3760	74.4379	43.5004	-97.8552	39.1500	-8	-283	88 
224.516	-1.3125	1.2988	0.2881	9.5825	49.2554	-10.3760	74.7070	43.6157	-97.6410	39.1300	-8	-283	88 
224.526	-1.3125	1.2988	0.2881	9.5825	49.2554	-10.3760	74.9762	43.7311	-97.4213	39.1300	-8	-283	88 
224.526	-1.3530	1.2891	0.2227	14.3433	38.8184	-13.9771	75.2289	43.8519	-97.2675	39.1900	-8	-283	88 
224.536	-1.3530	1.2891	0.2227	14.3433	38.8184	-13.9771	75.4816	43.9728	-97.1082	39.1900	-8	-283	87 
224.536	-1.3530	1.2891	0.2227	14.3433	38.8184	-13.9771	75.7288	44.0936	-96.9543	39.1600	-9	-283	89 
224.546	-1.3530	1.2891	0.2227	14.3433	38.8184	-13.9771	75.9814	44.2090	-96.8005	39.1600	-9	-283	90 
224.546	-1.3530	1.2891	0.2227	14.3433	38.8184	-13.9771	76.2341	44.3298	-96.6412	39.1400	-9	-284	90 
224.556	-1.3530	1.2891	0.2227	14.3433	38.8184	-13.9771	76.4868	44.4452	-96.4819	39.1400	-8	-285	90 
224.556	-1.3530	1.2891	0.2227	14.3433	38.8184	-13.9771	76.7395	44.5605	-96.3281	39.1400	-8	-285	89 
224.556	-1.3530	1.2891	0.2227	14.3433	38.8184	-13.9771	76.9922	44.6759	-96.1688	39.1500	-7	-286	89 
224.566	-1.3579	1.2725	0.2153	15.5640	26.0620	-15.9912	77.1899	44.7858	-96.0974	39.1500	-8	-285	89 
224.566	-1.3579	1.2725	0.2153	15.5640	26.0620	-15.9912	77.3877	44.8956	-96.0260	39.1200	-8	-285	89 
224.576	-1.3579	1.2725	0.2153	15.5640	26.0620	-15.9912	77.5854	45.0055	-95.9546	39.1200	-7	-285	90 
224.576	-1.3579	1.2725	0.2153	15.5640	26.0620	-15.9912	77.7832	45.1099	-95.8832	39.1600	-6	-285	91 
224.586	-1.3579	1.2725	0.2153	15.5640	26.0620	-15.9912	77.9810	45.2197	-95.8118	39.1600	-5	-286	91 
224.586	-1.3579	1.2725	0.2153	15.5640	26.0620	-15.9912	78.1787	45.3296	-95.7404	39.1800	-5	-286	90 
224.596	-1.3579	1.2725	0.2153	15.5640	26.0620	-15.9912	78.3765	45.4340	-95.6689	39.1800	-4	-286	91 
224.596	-1.3579	1.2725	0.2153	15.5640	26.0620	-15.9912	78.5687	45.5383	-95.5975	39.1700	-4	-286	91 
224.596	-1.3623	1.2627	0.1909	14.8315	14.6484	-16.9067	78.7115	45.6372	-95.6030	39.1700	-2	-286	92 
224.606	-1.3623	1.2627	0.1909	14.8315	14.6484	-16.9067	78.8489	45.7361	-95.6085	39.1700	-1	-285	92 
224.606	-1.3623	1.2627	0.1909	14.8315	14.6484	-16.9067	78.9917	45.8350	-95.6085	39.1500	-2	-287	93 
224.616	-1.3623	1.2627	0.1909	14.8315	14.6484	-16.9067	79.1290	45.9338	-95.6140	39.1500	-2	-288	93 
224.616	-1.3623	1.2627	0.1909	14.8315	14.6484	-16.9067	79.2664	46.0327	-95.6195	39.2300	-2	-288	94 
224.626	-1.3623	1.2627	0.1909	14.8315	14.6484	-16.9067	79.4092	46.1316	-95.6250	39.2300	-1	-288	94 
224.626	-1.3623	1.2627	0.1909	14.8315	14.6484	-16.9067	79.5465	46.2305	-95.6250	39.1300	-1	-288	94 
224.626	-1.3750	1.2485	0.1948	14.4653	8.2397	-17.4561	79.6509	46.3239	-95.6744	39.1300	-1	-288	94 
224.636	-1.3750	1.2485	0.1948	14.4653	8.2397	-17.4561	79.7552	46.4172	-95.7239	39.2000	0	-288	94 
224.636	-1.3750	1.2485	0.1948	14.4653	8.2397	-17.4561	79.8596	46.5161	-95.7733	39.2000	0	-288	94 
224.646	-1.3750	1.2485	0.1948	14.4653	8.2397	-17.4561	79.9585	46.6095	-95.8228	39.1100	1	-288	93 
224.646	-1.3750	1.2485	0.1948	14.4653	8.2397	-17.4561	80.0629	46.7029	-95.8722	39.1100	1	-288	93 
224.657	-1.3750	1.2485	0.1948	14.4653	8.2397	-17.4561	80.1672	46.7963	-95.9161	39.1100	2	-289	92 
224.657	-1.3750	1.2485	0.1948	14.4653	8.2397	-17.4561	80.2716	46.8951	-95.9601	39.1400	2	-290	92 
224.667	-1.3750	1.2485	0.1948	14.4653	8.2397	-17.4561	80.3705	46.9885	-96.0095	39.1400	3	-290	93 
224.667	-1.3945	1.2368	0.1636	15.0757	8.1787	-17.8833	80.4803	47.0819	-96.0535	39.2000	3	-290	94 
224.667	-1.3945	1.2368	0.1636	15.0757	8.1787	-17.8833	80.5902	47.1808	-96.0919	39.2000	3	-290	94 
224.677	-1.3945	1.2368	0.1636	15.0757	8.1787	-17.8833	80.7001	47.2797	-96.1359	39.2000	3	-290	94 
224.677	-1.3945	1.2368	0.1636	15.0757	8.1787	-17.8833	80.8099	47.3730	-96.1743	39.2000	3	-290	95 
224.687	-1.3945	1.2368	0.1636	15.0757	8.1787	-17.8833	80.9198	47.4719	-96.2183	39.1600	4	-290	95 
224.687	-1.3945	1.2368	0.1636	15.0757	8.1787	-17.8833	81.0297	47.5653	-96.2567	39.1600	5	-290	95 
224.697	-1.3945	1.2368	0.1636	15.0757	8.1787	-17.8833	81.1395	47.6587	-96.3007	39.1100	5	-290	96 
224.697	-1.3945	1.2368	0.1636	15.0757	8.1787	-17.8833	81.2439	47.7576	-96.3391	39.1100	6	-291	95 
224.707	-1.4136	1.2236	0.1230	17.0898	14.2212	-17.5781	81.4032	47.8564	-96.3281	39.1800	6	-291	95 
224.707	-1.4136	1.2236	0.1230	17.0898	14.2212	-17.5781	81.5625	47.9553	-96.3116	39.1800	7	-291	96 
224.707	-1.4136	1.2236	0.1230	17.0898	14.2212	-17.5781	81.7163	48.0542	-96.3007	39.1800	7	-292	97 
224.717	-1.4136	1.2236	0.1230	17.0898	14.2212	-17.5781	81.8756	48.1531	-96.2897	39.1800	8	-291	96 
224.717	-1.4136	1.2236	0.1230	17.0898	14.2212	-17.5781	82.0349	48.2520	-96.2732	39.1800	9	-291	96 
224.727	-1.4136	1.2236	0.1230	17.0898	14.2212	-17.5781	82.1942	48.3508	-96.2622	39.1800	8	-291	97 
224.727	-1.4136	1.2236	0.1230	17.0898	14.2212	-17.5781	82.3480	48.4442	-96.2512	39.1800	8	-290	98 
224.737	-1.4136	1.2236	0.1230	17.0898	14.2212	-17.5781	82.5073	48.5431	-96.2347	39.1500	9	-291	98 
224.737	-1.4365	1.2153	0.0835	19.0430	22.7661	-16.3574	82.7271	48.6420	-96.1523	39.1500	10	-292	98 
224.737	-1.4365	1.2153	0.0835	19.0430	22.7661	-16.3574	82.9523	48.7354	-96.0645	39.1200	10	-293	99 
224.747	-1.4365	1.2153	0.0835	19.0430	22.7661	-16.3574	83.1720	48.8342	-95.9766	39.1200	11	-293	99 
224.747	-1.4365	1.2153	0.0835	19.0430	22.7661	-16.3574	83.3972	48.9276	-95.8887	39.1700	11	-293	98 
224.757	-1.4365	1.2153	0.0835	19.0430	22.7661	-16.3574	83.6169	49.0265	-95.8008	39.1700	12	-292	97 
224.757	-1.4365	1.2153	0.0835	19.0430	22.7661	-16.3574	83.8422	49.1199	-95.7129	39.1700	13	-293	98 
224.767	-1.4365	1.2153	0.0835	19.0430	22.7661	-16.3574	84.0619	49.2133	-95.6195	39.1800	14	-294	98 
224.767	-1.4365	1.2153	0.0835	19.0430	22.7661	-16.3574	84.2871	49.3066	-95.5316	39.1800	14	-293	98 
224.777	-1.4556	1.2031	0.0151	20.0806	31.3110	-14.4043	84.5728	49.3945	-95.3613	39.1800	14	-293	98 
224.777	-1.4556	1.2031	0.0151	20.0806	31.3110	-14.4043	84.8639	49.4824	-95.1910	39.1800	15	-293	98 
224.777	-1.4556	1.2031	0.0151	20.0806	31.3110	-14.4043	85.1495	49.5703	-95.0208	39.1800	16	-294	98 
224.787	-1.4556	1.2031	0.0151	20.0806	31.3110	-14.4043	85.4407	49.6527	-94.8505	39.1800	16	-294	99 
224.787	-1.4556	1.2031	0.0151	20.0806	31.3110	-14.4043	85.7263	49.7406	-94.6802	39.1300	16	-294	100 
224.797	-1.4556	1.2031	0.0151	20.0806	31.3110	-14.4043	86.0175	49.8230	-94.5099	39.1300	17	-294	101 
224.797	-1.4556	1.2031	0.0151	20.0806	31.3110	-14.4043	86.3086	49.9054	-94.3396	39.1800	18	-293	102 
224.807	-1.4556	1.2031	0.0151	20.0806	31.3110	-14.4043	86.5942	49.9878	-94.1693	39.1800	18	-294	102 
224.807	-1.4565	1.1890	-0.0566	20.9351	39.6118	-11.8408	86.9513	50.0592	-93.9221	39.1800	18	-294	103 
224.817	-1.4565	1.1890	-0.0566	20.9351	39.6118	-11.8408	87.3029	50.1251	-93.6749	39.1100	19	-295	104 
224.817	-1.4565	1.1890	-0.0566	20.9351	39.6118	-11.8408	87.6599	50.1965	-93.4277	39.1100	19	-295	105 
224.817	-1.4565	1.1890	-0.0566	20.9351	39.6118	-11.8408	88.0115	50.2625	-93.1805	39.1500	20	-294	105 
224.827	-1.4565	1.1890	-0.0566	20.9351	39.6118	-11.8408	88.3685	50.3284	-92.9333	39.1500	20	-293	106 
224.827	-1.4565	1.1890	-0.0566	20.9351	39.6118	-11.8408	88.7201	50.3888	-92.6807	39.0900	21	-294	106 
224.837	-1.4565	1.1890	-0.0566	20.9351	39.6118	-11.8408	89.0771	50.4547	-92.4335	39.0900	22	-295	106 
224.837	-1.4565	1.1890	-0.0566	20.9351	39.6118	-11.8408	89.4287	50.5151	-92.1863	39.2300	23	-295	106 
224.847	-1.4438	1.1714	-0.1592	21.8506	50.6592	-8.3618	89.8682	50.5591	-91.8347	39.2300	23	-294	106 
224.847	-1.4438	1.1714	-0.1592	21.8506	50.6592	-8.3618	90.3076	50.5975	-91.4777	39.1100	23	-295	107 
